7. 06/08 - 17:54:52.732 [main] DEBUG org.hibernate.jpa.HibernatePersistenceProvider - Located and parsed 1 persistence units; checking each : Logger=org.hibernate.jpa.HibernatePersistenceProvider
8. 06/08 - 17:54:52.732 [main] DEBUG org.hibernate.jpa.HibernatePersistenceProvider - Checking persistence-unit [name=NewPersistenceUnit, explicit-provider=org.hibernate.jpa.HibernatePersistenceProvider] against incoming persistence unit name [projet_06] : Logger=org.hibernate.jpa.HibernatePersistenceProvider
9. 06/08 - 17:54:52.732 [main] DEBUG org.hibernate.jpa.HibernatePersistenceProvider - Excluding from consideration due to name mis-match : Logger=org.hibernate.jpa.HibernatePersistenceProvider
10. 06/08 - 17:54:52.732 [main] DEBUG org.hibernate.jpa.HibernatePersistenceProvider - Found no matching persistence units : Logger=org.hibernate.jpa.HibernatePersistenceProvider
7. 06/08 - 17:58:04.012 [main] DEBUG org.hibernate.jpa.HibernatePersistenceProvider - Located and parsed 1 persistence units; checking each : Logger=org.hibernate.jpa.HibernatePersistenceProvider
8. 06/08 - 17:58:04.012 [main] DEBUG org.hibernate.jpa.HibernatePersistenceProvider - Checking persistence-unit [name=projet_06, explicit-provider=org.hibernate.jpa.HibernatePersistenceProvider] against incoming persistence unit name [projet_06] : Logger=org.hibernate.jpa.HibernatePersistenceProvider
9. 06/08 - 17:58:04.012 [main] DEBUG org.hibernate.jpa.boot.spi.ProviderChecker - Persistence-unit [projet_06] requested PersistenceProvider [org.hibernate.jpa.HibernatePersistenceProvider] : Logger=org.hibernate.jpa.boot.spi.ProviderChecker
10. 06/08 - 17:58:04.012 [main] DEBUG org.hibernate.jpa.internal.util.LogHelper - PersistenceUnitInfo [
	name: projet_06
	persistence provider classname: org.hibernate.jpa.HibernatePersistenceProvider
	classloader: null
	excludeUnlistedClasses: false
	JTA datasource: null
	Non JTA datasource: null
	Transaction type: RESOURCE_LOCAL
	PU root URL: file:/C:/OpenClassRooms/ocr_projet06/model/target/model-dev.jar
	Shared Cache Mode: null
	Validation Mode: null
	Jar files URLs []
	Managed classes names [
		fr.ocr.prj06.stubs.dbCompteUtilisateurEntity
		fr.ocr.prj06.stubs.dbLongueurEntity
		fr.ocr.prj06.stubs.dbSecteurEntity
		fr.ocr.prj06.stubs.dbSpotEntity
		fr.ocr.prj06.stubs.dbTopoEntity
		fr.ocr.prj06.stubs.dbUtilisateurEntity
		fr.ocr.prj06.stubs.dbVoieEntity]
	Mapping files names []
	Properties [
		hibernate.connection.username: projet06
		hibernate.connection.password: projet06
		hibernate.show_sql: true
		hibernate.connection.url: jdbc:mysql://localhost:3306/ocr_projet06?serverTimezone=UTC
		hibernate.archive.autodetection: class
		hibernate.connection.driver_class: com.mysql.cj.jdbc.Driver
		hibernate.hbm2ddl.auto: validate
		hibernate.format_sql: true] : Logger=org.hibernate.jpa.internal.util.LogHelper
11. 06/08 - 17:58:04.028 [main] DEBUG org.hibernate.integrator.internal.IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator]. : Logger=org.hibernate.integrator.internal.IntegratorServiceImpl
12. 06/08 - 17:58:04.028 [main] DEBUG org.hibernate.integrator.internal.IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator]. : Logger=org.hibernate.integrator.internal.IntegratorServiceImpl
13. 06/08 - 17:58:04.028 [main] DEBUG org.hibernate.integrator.internal.IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator]. : Logger=org.hibernate.integrator.internal.IntegratorServiceImpl
14. 06/08 - 17:58:04.059 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {[WORKING]} : Logger=org.hibernate.Version
15. 06/08 - 17:58:04.059 [main] DEBUG org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found : Logger=org.hibernate.cfg.Environment
16. 06/08 - 17:58:04.159 [main] DEBUG org.hibernate.service.spi.ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService] : Logger=org.hibernate.service.spi.ServiceBinding
17. 06/08 - 17:58:04.175 [main] DEBUG org.hibernate.cache.internal.RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered : Logger=org.hibernate.cache.internal.RegionFactoryInitiator
18. 06/08 - 17:58:04.175 [main] DEBUG org.hibernate.cache.internal.RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory : Logger=org.hibernate.cache.internal.RegionFactoryInitiator
19. 06/08 - 17:58:04.190 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final} : Logger=org.hibernate.annotations.common.Version
42. 06/08 - 17:58:04.206 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@f79a760 : Logger=org.hibernate.type.BasicTypeRegistry
43. 06/08 - 17:58:04.222 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@f79a760 : Logger=org.hibernate.type.BasicTypeRegistry
44. 06/08 - 17:58:04.222 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@652a7737 : Logger=org.hibernate.type.BasicTypeRegistry
45. 06/08 - 17:58:04.222 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@652a7737 : Logger=org.hibernate.type.BasicTypeRegistry
46. 06/08 - 17:58:04.222 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@652a7737 : Logger=org.hibernate.type.BasicTypeRegistry
47. 06/08 - 17:58:04.222 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@4e28bdd1 : Logger=org.hibernate.type.BasicTypeRegistry
48. 06/08 - 17:58:04.222 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@4e28bdd1 : Logger=org.hibernate.type.BasicTypeRegistry
49. 06/08 - 17:58:04.222 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@a8c1f44 : Logger=org.hibernate.type.BasicTypeRegistry
50. 06/08 - 17:58:04.222 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@a8c1f44 : Logger=org.hibernate.type.BasicTypeRegistry
51. 06/08 - 17:58:04.222 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@78a287ed : Logger=org.hibernate.type.BasicTypeRegistry
52. 06/08 - 17:58:04.222 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@78a287ed : Logger=org.hibernate.type.BasicTypeRegistry
53. 06/08 - 17:58:04.222 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@7a527389 : Logger=org.hibernate.type.BasicTypeRegistry
54. 06/08 - 17:58:04.222 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@4264b240 : Logger=org.hibernate.type.BasicTypeRegistry
55. 06/08 - 17:58:04.222 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@76f7d241 : Logger=org.hibernate.type.BasicTypeRegistry
56. 06/08 - 17:58:04.222 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@76f7d241 : Logger=org.hibernate.type.BasicTypeRegistry
57. 06/08 - 17:58:04.222 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@22d6f11 : Logger=org.hibernate.type.BasicTypeRegistry
58. 06/08 - 17:58:04.222 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@22d6f11 : Logger=org.hibernate.type.BasicTypeRegistry
59. 06/08 - 17:58:04.222 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@62435e70 : Logger=org.hibernate.type.BasicTypeRegistry
60. 06/08 - 17:58:04.222 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@62435e70 : Logger=org.hibernate.type.BasicTypeRegistry
61. 06/08 - 17:58:04.222 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@275fe372 : Logger=org.hibernate.type.BasicTypeRegistry
62. 06/08 - 17:58:04.222 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@275fe372 : Logger=org.hibernate.type.BasicTypeRegistry
63. 06/08 - 17:58:04.222 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@31e75d13 : Logger=org.hibernate.type.BasicTypeRegistry
64. 06/08 - 17:58:04.222 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@31e75d13 : Logger=org.hibernate.type.BasicTypeRegistry
65. 06/08 - 17:58:04.222 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@2f9a01c1 : Logger=org.hibernate.type.BasicTypeRegistry
66. 06/08 - 17:58:04.222 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@2f9a01c1 : Logger=org.hibernate.type.BasicTypeRegistry
67. 06/08 - 17:58:04.222 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@5778826f : Logger=org.hibernate.type.BasicTypeRegistry
68. 06/08 - 17:58:04.222 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@5778826f : Logger=org.hibernate.type.BasicTypeRegistry
69. 06/08 - 17:58:04.222 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@15c25153 : Logger=org.hibernate.type.BasicTypeRegistry
70. 06/08 - 17:58:04.222 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@15c25153 : Logger=org.hibernate.type.BasicTypeRegistry
71. 06/08 - 17:58:04.237 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@5b408dc3 : Logger=org.hibernate.type.BasicTypeRegistry
72. 06/08 - 17:58:04.237 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@5b408dc3 : Logger=org.hibernate.type.BasicTypeRegistry
73. 06/08 - 17:58:04.237 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@74cadd41 : Logger=org.hibernate.type.BasicTypeRegistry
74. 06/08 - 17:58:04.237 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@74cadd41 : Logger=org.hibernate.type.BasicTypeRegistry
75. 06/08 - 17:58:04.237 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@426b6a74 : Logger=org.hibernate.type.BasicTypeRegistry
76. 06/08 - 17:58:04.237 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@426b6a74 : Logger=org.hibernate.type.BasicTypeRegistry
77. 06/08 - 17:58:04.237 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@7d3430a7 : Logger=org.hibernate.type.BasicTypeRegistry
78. 06/08 - 17:58:04.237 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@7d3430a7 : Logger=org.hibernate.type.BasicTypeRegistry
79. 06/08 - 17:58:04.237 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@7d3430a7 : Logger=org.hibernate.type.BasicTypeRegistry
80. 06/08 - 17:58:04.237 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@69637b10 : Logger=org.hibernate.type.BasicTypeRegistry
81. 06/08 - 17:58:04.237 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@1bc715b8 : Logger=org.hibernate.type.BasicTypeRegistry
82. 06/08 - 17:58:04.237 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@1bc715b8 : Logger=org.hibernate.type.BasicTypeRegistry
83. 06/08 - 17:58:04.237 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@1bc715b8 : Logger=org.hibernate.type.BasicTypeRegistry
84. 06/08 - 17:58:04.237 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@5ddabb18 : Logger=org.hibernate.type.BasicTypeRegistry
85. 06/08 - 17:58:04.237 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@28d6290 : Logger=org.hibernate.type.BasicTypeRegistry
86. 06/08 - 17:58:04.237 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@28d6290 : Logger=org.hibernate.type.BasicTypeRegistry
87. 06/08 - 17:58:04.237 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@77602954 : Logger=org.hibernate.type.BasicTypeRegistry
88. 06/08 - 17:58:04.237 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@77602954 : Logger=org.hibernate.type.BasicTypeRegistry
89. 06/08 - 17:58:04.237 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@40258c2f : Logger=org.hibernate.type.BasicTypeRegistry
90. 06/08 - 17:58:04.237 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@40258c2f : Logger=org.hibernate.type.BasicTypeRegistry
91. 06/08 - 17:58:04.237 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@73c60324 : Logger=org.hibernate.type.BasicTypeRegistry
92. 06/08 - 17:58:04.237 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@73c60324 : Logger=org.hibernate.type.BasicTypeRegistry
93. 06/08 - 17:58:04.237 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@44e3760b : Logger=org.hibernate.type.BasicTypeRegistry
94. 06/08 - 17:58:04.237 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@44e3760b : Logger=org.hibernate.type.BasicTypeRegistry
95. 06/08 - 17:58:04.237 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@42f3156d : Logger=org.hibernate.type.BasicTypeRegistry
96. 06/08 - 17:58:04.237 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@67389cb8 : Logger=org.hibernate.type.BasicTypeRegistry
97. 06/08 - 17:58:04.237 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@67389cb8 : Logger=org.hibernate.type.BasicTypeRegistry
98. 06/08 - 17:58:04.237 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@67389cb8 : Logger=org.hibernate.type.BasicTypeRegistry
99. 06/08 - 17:58:04.237 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@346939bf : Logger=org.hibernate.type.BasicTypeRegistry
100. 06/08 - 17:58:04.237 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@346939bf : Logger=org.hibernate.type.BasicTypeRegistry
101. 06/08 - 17:58:04.237 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@346939bf : Logger=org.hibernate.type.BasicTypeRegistry
102. 06/08 - 17:58:04.237 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@6e4de19b : Logger=org.hibernate.type.BasicTypeRegistry
103. 06/08 - 17:58:04.237 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@1991f767 : Logger=org.hibernate.type.BasicTypeRegistry
104. 06/08 - 17:58:04.253 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@1c9f0a20 : Logger=org.hibernate.type.BasicTypeRegistry
105. 06/08 - 17:58:04.253 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@1c9f0a20 : Logger=org.hibernate.type.BasicTypeRegistry
106. 06/08 - 17:58:04.253 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@1c9f0a20 : Logger=org.hibernate.type.BasicTypeRegistry
107. 06/08 - 17:58:04.253 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@3f28bd56 : Logger=org.hibernate.type.BasicTypeRegistry
